date,temp_c
2024-01-01,6.64
2024-01-02,6.28
2024-01-03,5.85
2024-01-04,5.69
2024-01-05,5.13
2024-01-06,4.67
2024-01-07,4.6
2024-01-08,4.7
2024-01-09,4.94
2024-01-10,4.99
2024-01-11,5.11
2024-01-12,4.42
2024-01-13,3.68
2024-01-14,4.59
2024-01-15,4.07
2024-01-16,4.39
2024-01-17,5.19
2024-01-18,4.9
2024-01-19,4.52
2024-01-20,4.51
2024-01-21,4.5
2024-01-22,4.43
2024-01-23,5.15
2024-01-24,4.63
2024-01-25,5.66
2024-01-26,5.45
2024-01-27,5.68
2024-01-28,5.81
2024-01-29,5.32
2024-01-30,5.1
2024-01-31,5.24
2024-02-01,5.22
2024-02-02,5.12
2024-02-03,5.02
2024-02-04,4.97
2024-02-05,5.93
2024-02-06,6.13
2024-02-07,5.97
2024-02-08,6.3
2024-02-09,6.72
2024-02-10,6.57
2024-02-11,6.8
2024-02-12,6.79
2024-02-13,6.42
2024-02-14,5.49
2024-02-15,5.16
2024-02-16,5.37
2024-02-17,5.49
2024-02-18,4.95
2024-02-19,5.29
2024-02-20,5.26
2024-02-21,5.24
2024-02-22,5.85
2024-02-23,5.84
2024-02-24,5.54
2024-02-25,5.0
2024-02-26,5.71
2024-02-27,5.77
2024-02-28,6.39
2024-02-29,6.58
2024-03-01,5.57
2024-03-02,6.53
2024-03-03,6.74
2024-03-04,6.65
2024-03-05,6.61
2024-03-06,6.95
2024-03-07,6.47
2024-03-08,6.94
2024-03-09,7.29
2024-03-10,7.95
2024-03-11,8.13
2024-03-12,8.12
2024-03-13,8.42
2024-03-14,8.59
2024-03-15,8.92
2024-03-16,8.77
2024-03-17,8.42
2024-03-18,8.73
2024-03-19,8.31
2024-03-20,8.14
2024-03-21,7.73
2024-03-22,7.99
2024-03-23,7.97
2024-03-24,8.19
2024-03-25,8.14
2024-03-26,7.92
2024-03-27,8.68
2024-03-28,9.21
2024-03-29,9.28
2024-03-30,9.25
2024-03-31,9.41
2024-04-01,9.84
2024-04-02,9.56
2024-04-03,9.84
2024-04-04,9.41
2024-04-05,9.8
2024-04-06,10.05
2024-04-07,10.23
2024-04-08,10.46
2024-04-09,10.83
2024-04-10,10.76
2024-04-11,11.51
2024-04-12,11.98
2024-04-13,12.35
2024-04-14,11.94
2024-04-15,12.01
2024-04-16,11.84
2024-04-17,10.91
2024-04-18,11.32
2024-04-19,11.36
2024-04-20,11.17
2024-04-21,11.5
2024-04-22,11.43
2024-04-23,11.45
2024-04-24,11.68
2024-04-25,11.53
2024-04-26,11.81
2024-04-27,12.24
2024-04-28,12.59
2024-04-29,12.79
2024-04-30,14.85
2024-05-01,12.77
2024-05-02,12.89
2024-05-03,12.8
2024-05-04,13.1
2024-05-05,13.58
2024-05-06,13.59
2024-05-07,13.37
2024-05-08,13.44
2024-05-09,13.46
2024-05-10,13.72
2024-05-11,14.09
2024-05-12,14.31
2024-05-13,14.44
2024-05-14,14.53
2024-05-15,14.68
2024-05-16,14.66
2024-05-17,14.29
2024-05-18,14.01
2024-05-19,14.1
2024-05-20,14.75
2024-05-21,15.12
2024-05-22,15.45
2024-05-23,15.2
2024-05-24,15.07
2024-05-25,14.62
2024-05-26,14.57
2024-05-27,14.88
2024-05-28,15.22
2024-05-29,15.48
2024-05-30,15.36
2024-05-31,15.53
2024-06-01,15.73
2024-06-02,16.05
2024-06-03,16.32
2024-06-04,16.54
2024-06-05,16.67
2024-06-06,16.77
2024-06-07,16.86
2024-06-08,16.7
2024-06-09,16.64
2024-06-10,16.7
2024-06-11,16.91
2024-06-12,17.04
2024-06-13,17.26
2024-06-14,17.61
2024-06-15,17.01
2024-06-16,16.98
2024-06-17,17.16
2024-06-18,17.62
2024-06-19,18.09
2024-06-20,18.34
2024-06-21,18.12
2024-06-22,18.19
2024-06-23,18.3
2024-06-24,17.93
2024-06-25,18.26
2024-06-26,18.21
2024-06-27,17.91
2024-06-28,17.62
2024-06-29,17.54
2024-06-30,17.53
2024-07-01,17.72
2024-07-02,17.85
2024-07-03,18.2
2024-07-04,18.31
2024-07-05,18.23
2024-07-06,18.07
2024-07-07,18.5
2024-07-08,18.73
2024-07-09,18.87
2024-07-10,18.73
2024-07-11,18.95
2024-07-12,18.78
2024-07-13,18.96
2024-07-14,18.96
2024-07-15,19.0
2024-07-16,19.19
2024-07-17,19.2
2024-07-18,19.38
2024-07-19,19.25
2024-07-20,19.32
2024-07-21,19.05
2024-07-22,18.91
2024-07-23,18.9
2024-07-24,19.04
2024-07-25,18.98
2024-07-26,18.82
2024-07-27,18.73
2024-07-28,19.15
2024-07-29,19.24
2024-07-30,19.14
2024-07-31,19.53
2024-08-01,19.76
2024-08-02,19.87
2024-08-03,19.67
2024-08-04,19.28
2024-08-05,19.23
2024-08-06,18.86
2024-08-07,18.63
2024-08-08,18.38
2024-08-09,18.29
2024-08-10,18.34
2024-08-11,18.33
2024-08-12,18.43
2024-08-13,18.11
2024-08-14,18.56
2024-08-15,18.8
2024-08-16,19.19
2024-08-17,19.18
2024-08-18,19.13
2024-08-19,19.11
2024-08-20,18.83
2024-08-21,18.51
2024-08-22,18.46
2024-08-23,18.37
2024-08-24,18.32
2024-08-25,18.14
2024-08-26,18.01
2024-08-27,18.16
2024-08-28,17.95
